time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,effort1,effort2,effort3,effort4,effort5
2.0,0.000280056273568693,-9.382057501823411e-05,0.9168698670550349,0.002225393186150587,-0.002228891532320962,0.7063208631387456,0.7078848197006642,1.5394365782128716e-05,0.9233738280522985,0.00035833168077203936,-0.48230235095925167,-0.005141827287324929
2.05,0.00028005621871828913,-9.37321956145046e-05,0.9168698672281935,0.0022332782915768386,-0.002236795225726704,0.7063208140543119,0.7078848189139566,0.00011224049156766114,0.9236005321238139,0.00019344430235435084,-0.48268952055074976,-0.0020565844587316917
2.101,0.000279935858688767,8.746127165182298e-05,0.9168699718547749,0.0013395931381708062,-0.0013403379131999434,0.7068850577849741,0.7073258966451293,0.22455205889393426,1.529730289965947,0.08918004463698281,0.9453634325495841,-0.00988547947056162
2.15,0.00027332921996608885,0.003122178081700051,0.9168612539802138,-0.003125307326441062,0.003124096506014641,0.7091533846981286,0.7050403885213424,-0.010979639116115436,0.7673397902001611,-0.013884730931223999,-0.8220545841250981,0.016976811530700076
2.2,0.0002488716395646505,0.007902175787255326,0.9168129029377828,-0.01008638720271011,0.010067097552687376,0.7123263989084117,0.7017036552265042,-0.0063625106188069935,0.8489712837951302,-0.007994889481111045,-0.666146731346906,0.007910089491591776
2.25,0.00022814926546364485,0.01019653826047017,0.9167735956518691,-0.014321293804359536,0.01426948643519668,0.7143680004635887,0.6994781213263922,0.011373842130346645,0.9758860805169078,0.0031818307881792407,-0.37069267322831223,0.025938618780951828
2.3,0.00017994575440955548,0.014569195374437663,0.9166725002908698,-0.021006225137088677,0.020895456369744846,0.7174007533616477,0.6960303710936262,-0.007359512324001116,0.7755874669781448,-0.011026547933390418,-0.7451022836688637,-0.028493113768224276
2.35,0.0001412550203189942,0.017256881341971047,0.9165920093772884,-0.025373371026765762,0.025206424982107904,0.7193726229877847,0.6937030037977592,0.0012682989192214222,0.8393016299184097,-0.0060574842724037126,-0.61373487230032,-0.016714576342646836
2.4,7.096255736495748e-05,0.02132699929935834,0.9164440899003731,-0.031909747410490005,0.03163976122041529,0.7222703790525848,0.6901493990965647,-1.1121417564652347e-05,0.7954759421888724,-0.009037598106331757,-0.6755191565792629,-0.025013060630829642
2.45,1.5389379451711085e-05,0.02409933852301736,0.9163255048898635,-0.036163794438615934,0.035819898987259104,0.7241683030200817,0.6877422363861043,-0.0007100585888153432,0.7625771563235517,-0.012446979304137074,-0.7314450380544457,-0.017096586827758387
